,accuracy,loss,val_accuracy,val_loss
0,0.9898034930229187,0.0546884760260582,0.98997563123703,0.043194741010665894
1,0.989955723285675,0.038093917071819305,0.9900006651878357,0.033768828958272934
2,0.9897766709327698,0.03455011546611786,0.990005373954773,0.031034016981720924
3,0.9899438619613647,0.02907099388539791,0.9895251989364624,0.028134170919656754
4,0.98972487449646,0.028028633445501328,0.9899401664733887,0.024837473407387733
5,0.9898747205734253,0.02541198395192623,0.9899405241012573,0.02412690408527851
6,0.9897761344909668,0.025309043005108833,0.9898203611373901,0.02336285449564457
7,0.9899346232414246,0.0231911800801754,0.9906347990036011,0.021665258333086967
8,0.9896668195724487,0.023409437388181686,0.9900104999542236,0.02563250996172428
9,0.9899942278862,0.0223173126578331,0.9899755716323853,0.024591097608208656
10,0.9902070760726929,0.02169809490442276,0.9902948141098022,0.019175274297595024
11,0.9906603097915649,0.019236119464039803,0.991724967956543,0.01720563694834709
12,0.9905264973640442,0.019236983731389046,0.9899905323982239,0.022960763424634933
13,0.991322934627533,0.018136845901608467,0.9914148449897766,0.016797471791505814
14,0.9919301271438599,0.01693269982933998,0.9940999746322632,0.01587473414838314
15,0.992466151714325,0.016031580045819283,0.9949049353599548,0.013924874365329742
16,0.991950511932373,0.017283033579587936,0.9947549104690552,0.014450413174927235
17,0.9923251867294312,0.016437385231256485,0.9894050359725952,0.01995707117021084
18,0.9932224154472351,0.014654385857284069,0.9951499104499817,0.013154292479157448
19,0.9933937191963196,0.015125066973268986,0.9950599074363708,0.012619231827557087
20,0.9953948259353638,0.01192945335060358,0.9895952343940735,0.03477149084210396
21,0.9944750070571899,0.01324657816439867,0.9949299693107605,0.012412862852215767
22,0.9941100478172302,0.013663499616086483,0.9934250712394714,0.014976716600358486
23,0.993296205997467,0.015279731713235378,0.9962350726127625,0.011455751955509186
24,0.9956648349761963,0.010873626917600632,0.9982197880744934,0.008925996720790863
25,0.9962648749351501,0.01020052656531334,0.9907649159431458,0.01650926098227501
26,0.9957185387611389,0.010550165548920631,0.9963250756263733,0.010214562527835369
27,0.9944213032722473,0.013224503956735134,0.9965952038764954,0.009320543147623539
28,0.9971292018890381,0.008804555051028728,0.9934402108192444,0.011517977342009544
29,0.9944491386413574,0.01237325370311737,0.9964250326156616,0.009654201567173004
30,0.9966312050819397,0.009047970175743103,0.996950089931488,0.008079426363110542
31,0.9966537356376648,0.008770194835960865,0.9890901446342468,0.016967272385954857
32,0.9969083666801453,0.008392690680921078,0.9986246228218079,0.005724599584937096
